"","OBJECTID","gap_number","plot_id","Fd","ZONAL_UNIT","SS1","SS1_","SS2","SS2_","SS3","SS3_","a","b","SI"
"1",5,43,"43_ 5",0,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"2",38,43,"43_ 38",6000,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"3",40,100,"100_ 40",0,"IDFxm/IDFdk3",1,1,NA,NA,NA,NA,NA,NA,NA
"4",50,43,"43_ 50",1000,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"5",58,41,"41_ 58",0,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"6",73,41,"41_ 73",1000,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"7",88,100,"100_ 88",0,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"8",100,41,"41_ 100",0,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"9",118,103,"103_ 118",0,"IDFxm/IDFdk3",1,0.8,4,0.2,NA,NA,12,14.8,13.4
"10",173,42,"42_ 173",0,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"11",183,100,"100_ 183",0,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"12",199,100,"100_ 199",0,"IDFxm/IDFdk3",1,1,NA,NA,NA,NA,NA,NA,NA
"13",230,48,"48_ 230",7000,"IDFxm/IDFdk3",1,1,NA,NA,NA,NA,NA,NA,NA
"14",236,98,"98_ 236",0,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"15",321,103,"103_ 321",0,"IDFxm/IDFdk3",4,0.8,2,0.2,NA,NA,12,12,12
"16",345,100,"100_ 345",0,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"17",361,98,"98_ 361",3000,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"18",362,41,"41_ 362",5000,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"19",395,43,"43_ 395",0,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"20",400,98,"98_ 400",0,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"21",403,98,"98_ 403",3000,"IDFxm/IDFdk3",7,0.8,6,0.2,NA,NA,16.8,15,15.9
"22",416,98,"98_ 416",0,"IDFxm/IDFdk3",7,0.8,6,0.2,NA,NA,16.8,15,15.9
"23",478,100,"100_ 478",0,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"24",493,41,"41_ 493",1000,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"25",511,104,"104_ 511",0,"IDFxm/IDFdk3",4,0.8,2,0.2,NA,NA,12,12,12
"26",549,103,"103_ 549",4000,"IDFxm/IDFdk3",4,0.8,2,0.2,NA,NA,12,12,12
"27",551,43,"43_ 551",3000,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"28",558,41,"41_ 558",0,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"29",568,43,"43_ 568",0,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"30",574,42,"42_ 574",6000,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"31",593,43,"43_ 593",0,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
"32",600,41,"41_ 600",1000,"IDFxm/IDFdk3",4,0.7,1,0.3,NA,NA,17.1,16.4,16.75
