OBJECTID,Join_Count,TARGET_FID,gap,Gap_area
24,0,24,24,0.15090919581
25,0,25,25,0.20317409119
27,0,27,27,0.10699695218
32,0,32,32,0.27046242062
40,0,40,40,0.10718964837
45,0,45,45,0.10747643648
47,0,47,47,0.11815373340
50,0,50,50,0.11806676891
53,0,53,53,0.10795781032
56,0,56,56,0.11007280515
59,0,59,59,0.16450996249
60,0,60,60,0.29287199697
62,0,62,62,0.14006068000
69,0,69,69,0.10148062000
72,0,72,72,0.10819102237
74,0,74,74,0.15495264190
77,1,77,77,0.31360501000
78,0,78,78,0.12643151795
79,0,79,79,0.11059516250
80,0,80,80,0.10521227991
82,0,82,82,0.12356158500
86,0,86,86,0.15477446500
93,0,93,93,0.20761959402
96,0,96,96,0.10135559083
97,0,97,97,0.10644396250
99,0,99,99,0.14648347856
101,0,101,101,0.11691448160
102,0,102,102,0.10483193250
110,0,110,110,0.10152892250
116,0,116,116,0.13996404250
120,0,120,120,0.13949978152
128,0,128,128,0.11143496471
130,0,130,130,0.18040440933
146,0,146,146,0.17138436724
152,0,152,152,0.10200031519
153,0,153,153,0.10463449373
158,0,158,158,0.12992988026
159,0,159,159,0.14598526376
164,0,164,164,0.29144822250
166,0,166,166,0.16487235615
168,0,168,168,0.12545093250
181,0,181,181,0.13242957051
186,0,186,186,0.15291303500
190,0,190,190,0.11299546250
191,0,191,191,0.11121508642
195,0,195,195,0.13090087500
198,0,198,198,0.10609805181
207,0,207,207,0.13481372014
208,1,208,208,0.15951734141
212,0,212,212,0.10613618200
215,0,215,215,0.13008336949
221,0,221,221,0.21764133765
222,0,222,222,0.10591953374
224,0,224,224,0.13307884053
234,0,234,234,0.15379055872
