"","OBJECTID","gap_number","plot_id","Fd","ZONAL_UNIT","SS1","SS1_","SS2","SS2_","SS3","SS3_","SS_name","SI"
"1",7,70,"70_ 7",0,"IDFxm",8,0.6,7,0.4,NA,NA,NA,NA
"2",11,57,"57_ 11",3000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"3",17,57,"57_ 17",1000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"4",22,61,"61_ 22",3000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"5",23,61,"61_ 23",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"6",24,57,"57_ 24",3000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"7",39,67,"67_ 39",2000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"8",42,30,"30_ 42",3000,"IDFxm",1,0.8,4,0.2,NA,NA,NA,NA
"9",44,54,"54_ 44",3000,"IDFxm",1,0.6,4,0.4,NA,NA,NA,NA
"10",46,122,"122_ 46",0,"IDFxm",2,0.6,4,0.3,1,0.1,"Fd - Pinegrass - Feathermoss",16.4
"11",55,57,"57_ 55",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"12",60,46,"46_ 60",1000,"IDFxm",1,0.8,4,0.2,NA,NA,NA,NA
"13",74,33,"33_ 74",0,"IDFxm",1,0.8,4,0.2,NA,NA,NA,NA
"14",82,121,"121_ 82",0,"IDFxm",2,0.6,4,0.3,1,0.1,"Fd - Pinegrass - Feathermoss",16.4
"15",90,122,"122_ 90",0,"IDFxm",2,0.6,4,0.3,1,0.1,"Fd - Pinegrass - Feathermoss",16.4
"16",103,46,"46_ 103",0,"IDFxm",1,0.8,4,0.2,NA,NA,NA,NA
"17",119,55,"55_ 119",0,"IDFxm",1,0.6,4,0.4,NA,NA,NA,NA
"18",133,11,"11_ 133",0,"IDFxm",1,0.8,3,0.1,4,0.1,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"19",134,57,"57_ 134",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
