,gap,plot,Height,Height growth,Diameter,Crown width,gap_type,B_At,B_Pl,B_Sx,B_Ep,B_Fd,x_site_open,trans_tot,x_trans_tot,lai_4_ring,lai_5_ring,ms,ts,wd,gs,sb,fb,sl,rk,df,near_distance,azimuth_T,slope1,slope2,slope5,slope10,twi10,twi5,twi2,twi1,dem1,dem2,dem5,dem10,aspect1,aspect2,aspect5,aspect10,Gap_area
18,111,413,66.3125,5.4375,1.2175,25.25,S,NA,NA,NA,NA,6,41.99,19.77,67.53,0.56,0.78,5,10,25,20,5,10,0,0,25,1,1.488468955,17.9168,24.8255,21.589,19.6768,7.48764,5.88933,3.51461,1.86327,801.09,801.427,801.302,801.427,1.952100577,1.987006128,1.989542613,1.991083592,1.504300554
19,111,425,65.875,5.166666667,0.53,10.33333333,S,NA,NA,NA,NA,NA,58.08,22.86,78.07,0.31,0.36,5,5,15,25,40,5,0,0,5,4.03,1.614560605,19.1347,19.1525,18.6833,19.0152,7.91346,5.37553,5.42654,5.01518,800.96,801.258,800.479,801.258,1.997838327,1.999759354,1.998040709,1.997339931,1.504300554
20,111,487,69,8.833333333,0.646666667,23.33333333,S,NA,NA,6,NA,9,54.93,19.97,68.2,0.41,0.43,5,0,10,30,25,25,0,0,5,0.69,1.312169112,27.5484,26.3984,23.9604,22.5344,11.5568,9.24089,7.99555,5.75366,796.739,797.097,796.85,797.097,1.936323326,1.936347838,1.926957467,1.939520584,1.504300554
21,112,29,98,7.666666667,1.096666667,29.83333333,S,NA,NA,NA,NA,3,47.3,21.36,72.95,0.5,0.58,5,5,5,20,35,15,0,0,15,1.19,0.538406206,25.0084,25.2687,20.7967,20.9691,7.37796,6.15292,3.96016,3.51715,807.051,807.108,806.389,807.108,1.931906621,1.961679125,1.90332032,1.897520207,0.787859616
22,112,144,78.5,4,0.62,9,S,NA,NA,NA,NA,6,36.05,18.45,63.01,0.79,0.97,5,0,5,65,0,25,0,0,0,2.11,2,20.758,23.5988,22.2199,23.5797,3.89721,3.66166,3.42458,3.51813,810.535,810.611,809.858,810.611,1.999816646,1.998094682,1.997091136,1.998537614,0.787859616
23,112,278,76,8.5,0.8475,17,S,NA,NA,3,NA,NA,38.86,15.15,51.75,0.72,0.92,0,0,0,75,10,15,0,0,0,1.61,1.999100767,12.9177,12.2784,13.6262,15.9123,8.59401,4.87104,2.78607,2.41478,802.113,802.301,802.216,802.301,1.99335269,1.984402013,1.969106196,1.939495475,0.787859616
24,112,421,17.8,2.4,0.262,7.4,S,NA,NA,3,NA,21,34.4,15.16,51.76,0.93,0.94,5,0,50,15,5,10,0,0,15,0.09,1,17.0946,18.54,16.3541,17.3464,7.76355,7.27557,3.31272,2.95493,799.08,799.389,799.221,799.389,1.98829504,1.921226149,1.883773797,1.920033637,0.787859616
25,113,14,9,1,0.17,3,S,NA,NA,NA,NA,21,58.93,21.95,74.97,0.31,0.39,0,0,40,30,15,5,0,0,10,3.53,0.10568952,21.1045,23.4004,23.0571,21.9207,4.70789,3.77798,2.76999,3.1519,831.023,831.405,830.333,831.405,1.960342364,1.944708795,1.931716585,1.937470448,0.242192883
26,113,347,39.78571429,3.142857143,0.641428571,14.78571429,S,NA,NA,NA,NA,18,50.13,19.63,67.05,0.54,0.57,10,0,10,20,30,10,20,0,0,3.92,0.858580412,24.8022,23.9011,21.8232,20.9321,7.28412,8.1938,2.89748,3.68275,831.286,831.517,831.501,831.517,1.862504837,1.82757077,1.865160173,1.875734306,0.242192883
27,115,86,67.16666667,6.666666667,NA,29.16666667,S,NA,NA,NA,NA,3,17.26,7.92,27.04,1.84,1.89,0,0,5,50,15,20,0,0,10,4.49,1.054078813,22.3453,20.0366,19.6588,18.9381,8.58733,10.7296,4.28838,5.18141,833.606,833.735,833.149,833.735,1.518325556,1.686986055,1.743284952,1.897366223,2.724607033
28,115,101,95.21428571,5.5,NA,17.35714286,S,NA,NA,NA,NA,NA,42.96,19.75,67.46,0.61,0.75,30,0,5,40,5,20,0,0,0,0.76,2,25.9644,24.2771,22.8765,23.4805,7.89227,8.70399,3.2814,7.73918,829.467,829.541,828.914,829.541,1.943697071,1.942349831,1.891868587,1.881954172,2.724607033
29,115,116,217.5,NA,1.05,NA,S,NA,NA,NA,NA,21,31.06,15.42,52.66,1.2,1.17,5,0,0,70,5,20,0,0,0,1.35,1.284015345,43.5156,42.7797,43.9736,41.0496,7.00768,7.8682,4.17233,4.35641,875.398,876.094,874.65,876.094,1.989239162,1.99364868,1.987297606,1.997544532,2.724607033
30,115,231,120.6,NA,0.934,NA,S,NA,NA,NA,NA,6,38.62,18.65,63.68,0.77,0.88,35,0,5,50,5,5,0,0,0,1.51,0.382964125,36.7077,35.3111,35.6489,36.7412,6.64037,4.73339,7.32208,1.68316,861.199,861.441,861.044,861.441,1.915711694,1.940495878,1.956079949,1.96452978,2.724607033
31,115,270,99,NA,1.02,NA,S,NA,NA,NA,NA,3,34.83,15.11,51.59,1.01,1.09,5,0,0,70,10,15,0,0,0,0.13,1.558179626,33.6588,33.0439,35.3115,30.5855,4.33472,3.50764,2.7071,3.86573,858.915,859.424,858.27,859.424,1.932399519,1.934223152,1.974745606,1.945217013,2.724607033
32,115,290,45,3,0.58,18,S,NA,NA,NA,NA,18,31.67,15.17,51.81,1.05,1.1,0,0,60,5,10,10,0,0,15,1.73,1.491359853,18.4576,20.9139,22.2652,22.4638,7.08375,4.83171,3.44378,3.53442,846.681,846.976,846.716,846.976,1.946277409,1.985142316,1.977205177,1.972897088,2.724607033
33,115,315,18.68571429,1.96875,NA,6.284375,S,NA,NA,NA,3,18,32.56,14.27,48.74,1.12,1.07,20,0,20,30,10,20,0,0,0,0.28,1,28.6164,28.9459,27.7419,25.3692,6.42483,7.14596,6.89796,7.29626,847.714,848.164,847.724,848.164,1.999996446,1.999989179,1.997793364,1.994071529,2.724607033
34,115,353,107.6666667,NA,0.786666667,NA,S,NA,NA,NA,NA,18,24.92,9.96,34.01,1.65,1.38,50,0,0,20,5,25,0,0,0,1.49,0.013599414,23.6295,25.3016,27.0562,29.0781,5.25703,4.52543,6.0028,3.86721,871.233,871.607,871.677,871.607,1.649567485,1.760836529,1.746638182,1.914931493,2.724607033
35,115,419,42.75,3.5,0.585,22.5,S,NA,NA,NA,6,18,26.53,11.98,40.91,1.3,1.32,20,0,35,20,5,20,0,0,0,0.49,0.00496178,25.3903,26.6327,27.8669,27.3179,9.7735,9.81799,5.83784,5.59204,849.002,849.372,849.165,849.372,1.998418276,1.996663079,1.997730344,1.996907741,2.724607033
36,118,303,91,4,0.983333333,13,S,NA,NA,NA,NA,15,29.26,13.71,46.81,1.31,1.22,15,5,10,30,15,5,0,0,20,3.76,1.683146326,26.7439,29.5241,20.5762,21.5302,8.23623,8.88672,9.00771,8.4102,844.698,845.16,844.47,845.16,1.993389185,1.999563704,1.967132978,1.957161965,0.268791924
37,119,218,39,2,0.72,13,S,NA,NA,NA,NA,36,62.38,24.33,83.08,0.02,0.25,75,0,0,15,5,5,0,0,0,1.64,0.382140387,0.924847,0.718098,1.0226,1.96366,6.41514,7.90166,3.42101,2.66278,849.885,849.873,849.899,849.873,0.121441184,0.57502628,0.268848684,0.017484553,0.493372401
38,123,135,9,1.5,0.09,1.75,S,NA,NA,NA,NA,36,42.86,18.47,63.07,0.48,0.79,60,0,0,15,10,5,0,0,10,1.15,1,7.24709,8.52377,13.497,5.26203,13.1443,13.7778,4.79371,3.61481,826.422,826.399,826.636,826.399,0.282444804,0.152099918,0.277913687,0.025728181,0.491137784
39,123,571,4.75,NA,NA,NA,S,NA,NA,NA,NA,18,21.93,8.56,29.23,1.59,1.55,0,0,25,10,5,5,35,0,20,1.98,1.89438856,18.7117,16.6134,19.9833,16.0319,9.0756,4.3546,7.77837,4.28178,821.661,821.375,821.914,821.375,0.070977175,0.033682287,0.036776442,1.19E-07,0.491137784
40,125,49,37.5,2.75,0.89375,18.25,S,NA,NA,NA,NA,21,15.68,8.46,28.88,1.79,1.91,70,5,5,5,10,5,0,0,0,0.6,0.044206985,2.2198,2.29132,1.26088,0.727401,5.94293,2.85801,3.64941,4.46672,831.262,831.268,831.283,831.268,0.025273886,1.777151453,0.576322218,1.449849057,0.315008442
41,13,77,41,NA,0.64,20,S,NA,NA,NA,NA,15,32.99,13.31,45.44,0.97,0.99,70,0,5,0,10,10,0,0,5,2.66,1.707106781,12.5822,10.6537,9.23093,9.13983,5.99565,6.00306,6.02616,2.83923,870.071,870.051,869.926,870.051,0.444212108,0.663677148,0.448572509,0.482704697,0.145857288
42,13,109,7.4,0.25,0.135,2,S,NA,NA,NA,NA,6,35.16,14.57,49.77,0.9,0.91,30,0,10,50,0,5,0,0,5,0.81,0.002867455,9.54048,11.0778,10.6616,10.0354,6.59368,6.27133,5.99907,5.38191,871.649,871.52,871.747,871.52,0.712505746,0.409014127,0.815877098,0.608995769,0.145857288
43,133,343,9.5,2,0.22,6,S,NA,NA,NA,NA,12,13.58,6.59,22.51,2.14,2.08,30,0,5,35,15,5,0,0,10,0.18,0.007732916,13.1335,11.4921,11.8379,11.3876,9.91223,4.26881,10.5331,3.58863,844.988,844.894,845.242,844.894,0.175982569,0.209118132,0.196839257,0.34375658,0.515212038
44,133,576,6,3,0.08,NA,S,NA,NA,NA,NA,3,33.13,16.14,55.11,0.89,1.02,10,0,30,20,20,10,0,0,10,3.59,0.983071115,13.6222,10.0144,12.1432,12.2641,8.16801,4.7618,6.34752,1.6482,851.993,852.062,852.147,852.062,1.315317798,1.042887035,0.955874954,0.805474602,0.515212038
45,134,87,5.266666667,2.6,0.103333333,NA,S,NA,NA,NA,NA,15,32.22,12.91,44.09,1.06,1.06,55,0,5,5,0,5,0,25,5,0.49,0.658307892,35.3072,34.536,32.5425,15.2133,6.29403,3.82705,3.56993,2.16597,855.196,854.976,854.793,854.976,0.456136989,0.475003613,0.468897154,0.226126628,0.779716566
46,140,405,26,8.5,0.4,15,S,NA,NA,NA,NA,NA,24.76,10.64,36.35,1.37,1.39,0,0,10,60,25,5,0,0,0,1.33,0.094950134,27.2182,18.5287,30.5293,19.5186,7.74831,7.17462,8.05841,3.2614,859.471,859.742,858.943,859.742,1.757895279,1.450768487,1.724075565,1.552460822,0.215781368
47,141,35,24.4,2.5,NA,15.2,S,NA,NA,NA,NA,6,21.05,9.49,32.42,1.56,1.73,10,0,5,55,20,10,0,0,0,0.39,1.403704981,11.928,11.7072,11.5877,11.7196,5.81054,5.17779,4.30298,4.82093,861.164,861.211,861.161,861.211,0.685112871,0.858494023,0.679849942,0.800803098,0.207340876
48,150,145,9,2.5,0.12,NA,S,NA,NA,NA,NA,6,16.91,5.7,19.46,1.82,1.76,30,5,10,5,5,10,15,0,20,2.92,0.544299728,9.16687,10.5748,12.0152,12.7339,6.82475,6.24556,1.53869,1.99559,849.252,849.233,849.585,849.233,0.141675278,0.160067429,0.420178342,0.589122021,0.129083256
49,154,490,6,1,0.16,2,S,NA,NA,NA,NA,30,26.04,11.45,39.11,1.39,1.73,65,0,15,15,0,5,0,0,0,0.23,1,39.1697,30.9189,29.6695,28.5245,7.78271,8.60733,5.65229,9.80714,837.567,837.714,837.669,837.714,1.972255721,1.956940336,1.978422525,1.983308935,0.122594709
50,155,104,14.05,2.9,0.265,6.1,S,NA,NA,NA,NA,9,36.91,18.02,61.53,1.02,0.89,35,0,15,10,5,20,0,0,15,6.1,0.123273244,25.4044,25.1039,24.1674,28.2189,5.67464,4.49302,4.18643,3.76212,864.148,864.486,864.113,864.486,1.936719856,1.947112868,1.935983368,1.994861395,2.175014789
51,155,143,42.5,4.166666667,0.576666667,13.83333333,S,NA,NA,3,NA,15,34.29,13.41,45.78,0.93,1.04,0,0,5,20,30,15,0,0,30,1.51,1.83069308,12.7513,12.5466,11.9812,12.2821,3.39019,2.77764,4.7213,1.51046,854.658,854.816,854.402,854.816,1.680413962,1.729362777,1.862407667,1.870570473,2.175014789
52,157,485,108.8933333,4.992307692,NA,31.46538462,S,NA,NA,NA,NA,9,21.81,7.89,26.95,1.93,1.66,30,10,0,15,10,15,0,0,20,0.55,0.011322051,22.3418,21.7219,22.2121,21.4417,4.9218,4.64007,3.29521,2.80201,850.864,850.936,850.921,850.936,1.835100458,1.937839878,1.962149056,1.958898514,0.618452048
53,157,518,69.76444444,2.367333333,NA,32.5,S,NA,NA,NA,NA,12,40.69,15.48,52.87,0.64,0.74,60,10,0,5,0,20,5,0,NA,0.63,1.799998928,16.8039,14.7874,16.6993,19.1054,7.01936,7.29592,2.23374,1.16469,854.205,854.294,854.365,854.294,1.999446158,1.999865709,1.984535913,1.968667744,0.618452048
54,161,543,12.24705882,1.873529412,NA,4.405882353,S,NA,NA,NA,NA,24,16.69,5.7,19.45,1.85,1.92,15,0,10,55,5,5,5,0,5,2.56,0.05380163,10.8206,13.8331,9.29922,8.66742,4.53145,6.62446,3.52255,3.71676,825.139,825.244,824.971,825.244,1.853006551,1.780804568,1.852889936,1.832202914,0.398901273
55,162,95,6.54,1.1,NA,0.7,S,NA,NA,NA,NA,33,36.48,16.34,55.8,0.7,0.96,50,0,10,15,5,0,5,0,15,1.34,1.915381758,79.1435,94.4575,70.7383,64.7304,8.20886,9.58368,10.0661,2.92015,867.973,869.478,868.612,869.478,1.470603836,1.633722514,1.560348467,1.522665226,0.176710213
