"","OBJECTID","gap_number","plot_id","Fd","ZONAL_UNIT","SS1","SS1_","SS2","SS2_","SS3","SS3_","SS_name","SI"
"1",1,111,"111_ 1",0,"IDFdk3",8,0.7,1,0.2,7,0.1,"SxwFd - Prickly rose - Sarsaparilla",21.9
"2",2,205,"205_ 2",7000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"3",3,111,"111_ 3",0,"IDFdk3",8,0.7,1,0.2,7,0.1,"SxwFd - Prickly rose - Sarsaparilla",21.9
"4",4,91,"91_ 4",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"5",6,209,"209_ 6",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"6",8,5,"5_ 8",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"7",9,20,"20_ 9",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"8",10,10,"10_ 10",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"9",12,85,"85_ 12",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"10",13,172,"172_ 13",0,"IDFdk3",9,1,NA,NA,NA,NA,"Sxw - Horsetail - Glow moss",NA
"11",14,113,"113_ 14",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"12",15,131,"131_ 15",0,"IDFdk3",1,0.9,4,0.1,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"13",16,8,"8_ 16",0,"IDFdk3",8,0.6,1,0.3,4,0.1,"SxwFd - Prickly rose - Sarsaparilla",21.9
"14",18,5,"5_ 18",9000,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"15",19,111,"111_ 19",1000,"IDFdk3",8,0.7,1,0.2,7,0.1,"SxwFd - Prickly rose - Sarsaparilla",21.9
"16",20,20,"20_ 20",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"17",21,175,"175_ 21",7000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"18",25,126,"126_ 25",0,"IDFdk3",1,0.7,4,0.3,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"19",26,176,"176_ 26",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"20",27,174,"174_ 27",0,"IDFdk3",5,0.8,8,0.2,NA,NA,"Fd - Feathermoss - Step moss",15
"21",28,193,"193_ 28",0,"IDFdk3",1,0.6,8,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"22",29,112,"112_ 29",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"23",30,94,"94_ 30",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"24",31,175,"175_ 31",3000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"25",32,89,"89_ 32",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"26",33,211,"211_ 33",31000,"IDFdk3",8,1,NA,NA,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"27",34,5,"5_ 34",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"28",35,141,"141_ 35",2000,"IDFdk3",1,0.9,4,0.1,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"29",36,115,"115_ 36",3000,"IDFdk3",5,0.5,1,0.4,8,0.1,"Fd - Feathermoss - Step moss",15
"30",37,17,"17_ 37",16000,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"31",41,106,"106_ 41",2000,"IDFdk3",8,0.6,7,0.2,1,0.2,"SxwFd - Prickly rose - Sarsaparilla",21.9
"32",43,214,"214_ 43",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"33",45,175,"175_ 45",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"34",47,76,"76_ 47",2000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"35",48,204,"204_ 48",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"36",49,125,"125_ 49",4000,"IDFdk3",1,0.7,4,0.3,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"37",51,173,"173_ 51",7000,"IDFdk3",7,0.8,5,0.1,8,0.1,"SxwFd - Prickly rose - Sedge",20.2
"38",52,94,"94_ 52",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"39",53,216,"216_ 53",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"40",54,114,"114_ 54",0,"IDFdk3",NA,NA,NA,NA,NA,NA,NA,NA
"41",56,114,"114_ 56",0,"IDFdk3",NA,NA,NA,NA,NA,NA,NA,NA
"42",57,119,"119_ 57",0,"IDFdk3",NA,NA,NA,NA,NA,NA,NA,NA
"43",59,2,"2_ 59",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"44",61,76,"76_ 61",6000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"45",62,200,"200_ 62",7000,"IDFdk3",1,0.8,8,0.2,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"46",63,155,"155_ 63",0,"IDFdk3",8,0.8,1,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"47",64,109,"109_ 64",0,"IDFdk3",8,0.7,1,0.2,7,0.1,"SxwFd - Prickly rose - Sarsaparilla",21.9
"48",66,185,"185_ 66",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"49",67,170,"170_ 67",1000,"IDFdk3",5,1,NA,NA,NA,NA,"Fd - Feathermoss - Step moss",15
"50",68,173,"173_ 68",0,"IDFdk3",5,0.8,8,0.2,NA,NA,"Fd - Feathermoss - Step moss",15
"51",69,211,"211_ 69",1000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"52",70,138,"138_ 70",32000,"IDFdk3",1,0.9,4,0.1,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"53",71,185,"185_ 71",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"54",72,206,"206_ 72",4000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"55",75,31,"31_ 75",2000,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"56",76,127,"127_ 76",0,"IDFdk3",1,0.7,4,0.3,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"57",77,13,"13_ 77",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"58",78,5,"5_ 78",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"59",79,6,"6_ 79",1000,"IDFdk3",8,0.6,1,0.3,4,0.1,"SxwFd - Prickly rose - Sarsaparilla",21.9
"60",80,81,"81_ 80",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"61",81,8,"8_ 81",5000,"IDFdk3",8,0.6,1,0.3,4,0.1,"SxwFd - Prickly rose - Sarsaparilla",21.9
"62",83,149,"149_ 83",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"63",84,237,"237_ 84",1000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"64",85,165,"165_ 85",0,"IDFdk3",10,1,NA,NA,NA,NA,NA,NA
"65",86,115,"115_ 86",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"66",87,134,"134_ 87",0,"IDFdk3",1,0.9,4,0.1,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"67",89,111,"111_ 89",0,"IDFdk3",8,0.7,1,0.2,7,0.1,"SxwFd - Prickly rose - Sarsaparilla",21.9
"68",91,5,"5_ 91",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"69",92,138,"138_ 92",2000,"IDFdk3",1,0.9,4,0.1,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"70",93,5,"5_ 93",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"71",94,126,"126_ 94",2000,"IDFdk3",1,0.7,4,0.3,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"72",95,162,"162_ 95",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"73",96,220,"220_ 96",1000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"74",97,226,"226_ 97",8000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"75",98,114,"114_ 98",0,"IDFdk3",NA,NA,NA,NA,NA,NA,NA,NA
"76",99,109,"109_ 99",0,"IDFdk3",1,0.9,5,0.1,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"77",101,115,"115_ 101",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"78",102,149,"149_ 102",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"79",104,155,"155_ 104",0,"IDFdk3",5,0.7,8,0.2,1,0.1,"Fd - Feathermoss - Step moss",15
"80",105,139,"139_ 105",1000,"IDFdk3",1,0.9,4,0.1,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"81",106,205,"205_ 106",2000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"82",107,105,"105_ 107",0,"IDFdk3",8,0.6,7,0.2,1,0.2,"SxwFd - Prickly rose - Sarsaparilla",21.9
"83",108,155,"155_ 108",0,"IDFdk3",8,0.8,1,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"84",109,13,"13_ 109",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"85",110,105,"105_ 110",0,"IDFdk3",8,0.6,7,0.2,1,0.2,"SxwFd - Prickly rose - Sarsaparilla",21.9
"86",111,206,"206_ 111",1000,"IDFdk3",1,0.8,8,0.2,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"87",112,144,"144_ 112",1000,"IDFdk3",1,0.9,4,0.1,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"88",113,180,"180_ 113",3000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"89",114,90,"90_ 114",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"90",115,160,"160_ 115",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"91",116,115,"115_ 116",0,"IDFdk3",5,0.7,8,0.2,1,0.1,"Fd - Feathermoss - Step moss",15
"92",117,185,"185_ 117",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"93",120,138,"138_ 120",0,"IDFdk3",1,0.9,4,0.1,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"94",121,188,"188_ 121",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"95",122,167,"167_ 122",0,"IDFdk3",5,1,NA,NA,NA,NA,"Fd - Feathermoss - Step moss",15
"96",123,76,"76_ 123",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"97",124,216,"216_ 124",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"98",125,176,"176_ 125",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"99",126,95,"95_ 126",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"100",127,8,"8_ 127",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"101",128,216,"216_ 128",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"102",129,202,"202_ 129",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"103",130,31,"31_ 130",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"104",131,202,"202_ 131",5000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"105",132,115,"115_ 132",0,"IDFdk3",5,0.5,1,0.4,8,0.1,"Fd - Feathermoss - Step moss",15
"106",135,123,"123_ 135",0,"IDFdk3",1,0.6,2,0.2,4,0.2,"FdPl - Pinegrass - Feathermoss",17.1
"107",136,76,"76_ 136",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"108",138,206,"206_ 138",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"109",139,31,"31_ 139",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"110",141,211,"211_ 141",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"111",142,185,"185_ 142",0,"IDFdk3",1,0.6,8,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"112",143,155,"155_ 143",0,"IDFdk3",8,0.8,1,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"113",144,112,"112_ 144",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"114",145,150,"150_ 145",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"115",146,188,"188_ 146",1000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"116",147,17,"17_ 147",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"117",149,151,"151_ 149",0,"IDFdk3",8,0.8,5,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"118",150,231,"231_ 150",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"119",152,115,"115_ 152",0,"IDFdk3",5,0.5,1,0.4,8,0.1,"Fd - Feathermoss - Step moss",15
"120",153,178,"178_ 153",1000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"121",154,2,"2_ 154",11000,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"122",155,20,"20_ 155",10000,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"123",156,143,"143_ 156",3000,"IDFdk3",1,0.9,4,0.1,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"124",157,216,"216_ 157",6000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"125",158,132,"132_ 158",17000,"IDFdk3",1,0.9,4,0.1,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"126",159,217,"217_ 159",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"127",161,176,"176_ 161",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"128",162,175,"175_ 162",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"129",163,5,"5_ 163",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"130",164,20,"20_ 164",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"131",165,192,"192_ 165",4000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"132",166,232,"232_ 166",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"133",168,202,"202_ 168",3000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"134",169,217,"217_ 169",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"135",171,199,"199_ 171",45000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"136",172,76,"76_ 172",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"137",174,137,"137_ 174",0,"IDFdk3",1,0.9,4,0.1,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"138",176,85,"85_ 176",6000,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"139",177,196,"196_ 177",0,"IDFdk3",1,1,NA,NA,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"140",178,185,"185_ 178",2000,"IDFdk3",1,0.6,8,0.4,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"141",179,114,"114_ 179",0,"IDFdk3",NA,NA,NA,NA,NA,NA,NA,NA
