"","OBJECTID","gap_number","plot_id","Fd","ZONAL_UNIT","SS1","SS1_","SS2","SS2_","SS3","SS3_","SS_name","SI"
"31",41,106,"106_ 41",2000,"IDFdk3",8,0.6,7,0.2,1,0.2,"SxwFd - Prickly rose - Sedge",20.2
"32",43,214,"214_ 43",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"33",45,175,"175_ 45",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"34",47,76,"76_ 47",2000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"35",48,204,"204_ 48",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"36",49,125,"125_ 49",4000,"IDFdk3",1,0.7,4,0.3,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"37",51,173,"173_ 51",7000,"IDFdk3",7,0.8,5,0.1,8,0.1,"Fd - Feathermoss - Step moss",15
"38",52,94,"94_ 52",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"39",53,216,"216_ 53",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"40",54,114,"114_ 54",0,"IDFdk3",NA,NA,NA,NA,NA,NA,NA,NA
"41",56,114,"114_ 56",0,"IDFdk3",NA,NA,NA,NA,NA,NA,NA,NA
"42",57,119,"119_ 57",0,"IDFdk3",NA,NA,NA,NA,NA,NA,NA,NA
"43",59,2,"2_ 59",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"44",61,76,"76_ 61",6000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"45",62,200,"200_ 62",7000,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"46",63,155,"155_ 63",0,"IDFdk3",8,0.8,1,0.2,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"47",64,109,"109_ 64",0,"IDFdk3",8,0.7,1,0.2,7,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"48",66,185,"185_ 66",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"49",67,170,"170_ 67",1000,"IDFdk3",5,1,NA,NA,NA,NA,NA,NA
"50",68,173,"173_ 68",0,"IDFdk3",5,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"51",69,211,"211_ 69",1000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"52",70,138,"138_ 70",32000,"IDFdk3",1,0.9,4,0.1,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"53",71,185,"185_ 71",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"54",72,206,"206_ 72",4000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"55",75,31,"31_ 75",2000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"56",76,127,"127_ 76",0,"IDFdk3",1,0.7,4,0.3,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"57",77,13,"13_ 77",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"58",78,5,"5_ 78",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"59",79,6,"6_ 79",1000,"IDFdk3",8,0.6,1,0.3,4,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"60",80,81,"81_ 80",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"61",81,8,"8_ 81",5000,"IDFdk3",8,0.6,1,0.3,4,0.1,"FdPl - Pinegrass - Feathermoss",17.1
