SS3,SS_name,SI
1,Fd - Pinegrass - Feathermoss,16.4
2,Fd - Bluebunch wheatgrass - Penstemon,12
3,Fd - Juniper - Cladonia,13
4,Fd - Bluebunch wheatgrass - Pasture sage,14.8
5,Fd - Feathermoss - Step moss,15.3
6,Fd - Ricegrass - Feathermoss,15
7,Fd - Prickly rose - Sarsaparilla,15
8,Sxw - Snowberry - Prickly rose,18
9,Sxw - Horsetail,
