"","OBJECTID","gap_number","plot_id","Fd","ZONAL_UNIT","SS1","SS1_","SS2","SS2_","SS3","SS3_","SS_name","SI"
"66",510,57,"57_ 510",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"67",516,67,"67_ 516",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"68",532,22,"22_ 532",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"69",533,66,"66_ 533",4000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"70",537,39,"39_ 537",0,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"71",538,57,"57_ 538",1000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"72",563,44,"44_ 563",1000,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"73",569,52,"52_ 569",48000,"IDFxm",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"74",579,52,"52_ 579",2000,"IDFxm",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"75",590,57,"57_ 590",0,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
"76",592,70,"70_ 592",0,"IDFxm",8,0.6,7,0.4,NA,NA,"Fd - Prickly rose - Sarsaparilla",15
"77",594,23,"23_ 594",0,"IDFxm",1,0.8,3,0.1,4,0.1,"Fd - Juniper - Cladonia",13
"78",596,49,"49_ 596",10000,"IDFxm",1,0.8,4,0.2,NA,NA,"Fd - Bluebunch wheatgrass - Pasture sage",14.8
"79",598,64,"64_ 598",3000,"IDFxm",1,1,NA,NA,NA,NA,NA,NA
